Protein1	Protein1_Accession	Domain1_Name	Domain1_Accession	Protein2	Protein2_Accession	Domain2_Name	Domain2_Accession	Count
act1	P60010	Actin family	IPR004000	act1	P60010	Actin family	IPR004000	48
act1	P60010	Actin family	IPR004000	arp2	P32381	Actin family	IPR004000	35
act1	P60010	Actin family	IPR004000	arp3	P47117	Actin family	IPR004000	32
act1	P60010	Actin family	IPR004000	axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	28
act1	P60010	Actin family	IPR004000	axl2	P38928	other	None	7
act1	P60010	Actin family	IPR004000	bem1	P29366	SH3 domain	IPR001452	30
act1	P60010	Actin family	IPR004000	bem1	P29366	other	None	17
act1	P60010	Actin family	IPR004000	bem3	P32873	other	None	32
act1	P60010	Actin family	IPR004000	bem3	P32873	Phox homology	IPR001683	2
act1	P60010	Actin family	IPR004000	bem3	P32873	Pleckstrin homology domain	IPR001849	6
act1	P60010	Actin family	IPR004000	bem3	P32873	Rho GTPase-activating protein domain	IPR000198	17
act1	P60010	Actin family	IPR004000	bni1	P41832	Formin, FH2 domain	IPR015425	31
act1	P60010	Actin family	IPR004000	bni1	P41832	Formin, GTPase-binding domain	IPR010473	24
act1	P60010	Actin family	IPR004000	bni1	P41832	Formin, FH3 domain	IPR010472	1
act1	P60010	Actin family	IPR004000	bud1	P13856	Small GTP-binding domain	IPR005225	12
act1	P60010	Actin family	IPR004000	cdc24	P11433	PB1 domain	IPR000270	12
act1	P60010	Actin family	IPR004000	cdc24	P11433	other	None	6
act1	P60010	Actin family	IPR004000	cdc24	P11433	Dbl homology (DH) domain	IPR000219	8
act1	P60010	Actin family	IPR004000	cdc24	P11433	Calponin homology domain	IPR001715	9
act1	P60010	Actin family	IPR004000	cdc28	P00546	Protein kinase domain	IPR000719	14
act1	P60010	Actin family	IPR004000	cdc42	P19073	Small GTP-binding domain	IPR005225	15
act1	P60010	Actin family	IPR004000	cla4	P48562	Pleckstrin homology domain	IPR001849	7
act1	P60010	Actin family	IPR004000	cla4	P48562	other	None	8
act1	P60010	Actin family	IPR004000	cla4	P48562	Protein kinase domain	IPR000719	1
act1	P60010	Actin family	IPR004000	cla4	P48562	CRIB domain	IPR000095	3
act1	P60010	Actin family	IPR004000	nrp1	P32770	other	None	29
act1	P60010	Actin family	IPR004000	nrp1	P32770	RNA recognition motif domain	IPR000504	10
act1	P60010	Actin family	IPR004000	rax1	Q08760	RGS domain	IPR016137	14
act1	P60010	Actin family	IPR004000	rax1	Q08760	other	None	15
act1	P60010	Actin family	IPR004000	rga2	Q06407	Rho GTPase-activating protein domain	IPR000198	40
act1	P60010	Actin family	IPR004000	rga2	Q06407	Zinc finger, LIM-type	IPR001781	22
act1	P60010	Actin family	IPR004000	rga2	Q06407	other	None	30
act1	P60010	Actin family	IPR004000	spa2	P23201	GIT, Spa2 homology (SHD) domain	IPR013724	1
act1	P60010	Actin family	IPR004000	spa2	P23201	ARF GTPase-activating protein GIT1, C-terminal	IPR022018	18
act1	P60010	Actin family	IPR004000	spa2	P23201	other	None	31
act1	P60010	Actin family	IPR004000	ste5	P32917	other	None	28
act1	P60010	Actin family	IPR004000	ste5	P32917	Protein Ste5, Fus3-binding domain	IPR021106	7
arp2	P32381	Actin family	IPR004000	arp2	P32381	Actin family	IPR004000	53
arp2	P32381	Actin family	IPR004000	arp3	P47117	Actin family	IPR004000	31
arp2	P32381	Actin family	IPR004000	axl2	P38928	other	None	19
arp2	P32381	Actin family	IPR004000	axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	10
arp2	P32381	Actin family	IPR004000	bem1	P29366	Phox homology	IPR001683	31
arp2	P32381	Actin family	IPR004000	bem1	P29366	SH3 domain	IPR001452	23
arp2	P32381	Actin family	IPR004000	bem3	P32873	Rho GTPase-activating protein domain	IPR000198	28
arp2	P32381	Actin family	IPR004000	bem3	P32873	Pleckstrin homology domain	IPR001849	15
arp2	P32381	Actin family	IPR004000	bni1	P41832	Formin, FH3 domain	IPR010472	17
arp2	P32381	Actin family	IPR004000	bni1	P41832	Formin, FH2 domain	IPR015425	4
arp2	P32381	Actin family	IPR004000	bni1	P41832	other	None	2
arp2	P32381	Actin family	IPR004000	bud1	P13856	other	None	21
arp2	P32381	Actin family	IPR004000	bud1	P13856	Small GTP-binding domain	IPR005225	2
arp2	P32381	Actin family	IPR004000	cdc24	P11433	Dbl homology (DH) domain	IPR000219	19
arp2	P32381	Actin family	IPR004000	cdc24	P11433	Pleckstrin homology domain	IPR001849	9
arp2	P32381	Actin family	IPR004000	cdc24	P11433	other	None	14
arp2	P32381	Actin family	IPR004000	cdc24	P11433	PB1 domain	IPR000270	14
arp2	P32381	Actin family	IPR004000	cdc28	P00546	Protein kinase domain	IPR000719	17
arp2	P32381	Actin family	IPR004000	cla4	P48562	Protein kinase domain	IPR000719	33
arp2	P32381	Actin family	IPR004000	cla4	P48562	Pleckstrin homology domain	IPR001849	13
arp2	P32381	Actin family	IPR004000	nrp1	P32770	RNA recognition motif domain	IPR000504	16
arp2	P32381	Actin family	IPR004000	nrp1	P32770	other	None	4
arp2	P32381	Actin family	IPR004000	nrp1	P32770	Zinc finger, RanBP2-type	IPR001876	27
arp2	P32381	Actin family	IPR004000	rax1	Q08760	other	None	21
arp2	P32381	Actin family	IPR004000	rax1	Q08760	RGS domain	IPR016137	12
arp2	P32381	Actin family	IPR004000	rga2	Q06407	Rho GTPase-activating protein domain	IPR000198	31
arp2	P32381	Actin family	IPR004000	rga2	Q06407	Zinc finger, LIM-type	IPR001781	6
arp2	P32381	Actin family	IPR004000	rga2	Q06407	other	None	1
arp2	P32381	Actin family	IPR004000	spa2	P23201	ARF GTPase-activating protein GIT1, C-terminal	IPR022018	20
arp2	P32381	Actin family	IPR004000	spa2	P23201	other	None	16
arp2	P32381	Actin family	IPR004000	ste5	P32917	other	None	32
arp3	P47117	Actin family	IPR004000	arp3	P47117	Actin family	IPR004000	23
arp3	P47117	Actin family	IPR004000	axl2	P38928	other	None	16
arp3	P47117	Actin family	IPR004000	axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	15
arp3	P47117	Actin family	IPR004000	bem1	P29366	SH3 domain	IPR001452	24
arp3	P47117	Actin family	IPR004000	bem1	P29366	other	None	14
arp3	P47117	Actin family	IPR004000	bem1	P29366	PB1 domain	IPR000270	27
arp3	P47117	Actin family	IPR004000	bem1	P29366	Phox homology	IPR001683	2
arp3	P47117	Actin family	IPR004000	bem3	P32873	Pleckstrin homology domain	IPR001849	8
arp3	P47117	Actin family	IPR004000	bem3	P32873	Rho GTPase-activating protein domain	IPR000198	23
arp3	P47117	Actin family	IPR004000	bem3	P32873	other	None	2
arp3	P47117	Actin family	IPR004000	bem3	P32873	Phox homology	IPR001683	1
arp3	P47117	Actin family	IPR004000	bni1	P41832	other	None	10
arp3	P47117	Actin family	IPR004000	bni1	P41832	Formin, FH2 domain	IPR015425	3
arp3	P47117	Actin family	IPR004000	bud1	P13856	Small GTP-binding domain	IPR005225	14
arp3	P47117	Actin family	IPR004000	cdc24	P11433	PB1 domain	IPR000270	14
arp3	P47117	Actin family	IPR004000	cdc24	P11433	other	None	40
arp3	P47117	Actin family	IPR004000	cdc24	P11433	Calponin homology domain	IPR001715	22
arp3	P47117	Actin family	IPR004000	cdc24	P11433	Dbl homology (DH) domain	IPR000219	3
arp3	P47117	Actin family	IPR004000	cdc28	P00546	Protein kinase domain	IPR000719	28
arp3	P47117	Actin family	IPR004000	cla4	P48562	other	None	33
arp3	P47117	Actin family	IPR004000	cla4	P48562	Protein kinase domain	IPR000719	33
arp3	P47117	Actin family	IPR004000	cla4	P48562	Pleckstrin homology domain	IPR001849	7
arp3	P47117	Actin family	IPR004000	nrp1	P32770	other	None	6
arp3	P47117	Actin family	IPR004000	nrp1	P32770	RNA recognition motif domain	IPR000504	10
arp3	P47117	Actin family	IPR004000	nrp1	P32770	Zinc finger, RanBP2-type	IPR001876	23
arp3	P47117	Actin family	IPR004000	rax1	Q08760	other	None	2
arp3	P47117	Actin family	IPR004000	rax1	Q08760	RGS domain	IPR016137	14
arp3	P47117	Actin family	IPR004000	rga2	Q06407	other	None	21
arp3	P47117	Actin family	IPR004000	rga2	Q06407	Rho GTPase-activating protein domain	IPR000198	26
arp3	P47117	Actin family	IPR004000	spa2	P23201	other	None	52
arp3	P47117	Actin family	IPR004000	spa2	P23201	ARF GTPase-activating protein GIT1, C-terminal	IPR022018	19
arp3	P47117	Actin family	IPR004000	ste5	P32917	other	None	40
axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	axl2	P38928	other	None	16
axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	35
axl2	P38928	other	None	axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	17
axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	bem1	P29366	other	None	9
axl2	P38928	other	None	bem1	P29366	other	None	6
axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	bem1	P29366	PB1 domain	IPR000270	2
axl2	P38928	other	None	bem1	P29366	SH3 domain	IPR001452	2
axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	bem1	P29366	SH3 domain	IPR001452	21
axl2	P38928	other	None	bem1	P29366	Phox homology	IPR001683	14
axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	bud1	P13856	Small GTP-binding domain	IPR005225	9
axl2	P38928	other	None	bud1	P13856	Small GTP-binding domain	IPR005225	2
axl2	P38928	other	None	bud1	P13856	other	None	1
axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	cdc24	P11433	other	None	8
axl2	P38928	other	None	cdc24	P11433	other	None	3
axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	rax1	Q08760	RGS domain	IPR016137	26
axl2	P38928	other	None	rax1	Q08760	RGS domain	IPR016137	18
axl2	P38928	other	None	rax1	Q08760	other	None	1
