Domain Accession	Domain name	Count	Proteins	Accession proteins	N_dl/N_pl / N_dy/N_py	N_d_list/N_p_list	N_d_yeast/N_p_yeast
IPR004000	Actin	2	['ACT1', 'ARP9']	['P60010', 'Q05123']	10.001478196600148	0.016260162601626018	0.00162577593851611
IPR006644	Cadg	4	['AXL2', 'AXL2', 'AXL2', 'AXL2']	['P38928', 'P38928', 'P38928', 'P38928']	55.00813008130081	0.032520325203252036	0.0005911912503694946
IPR000198	RhoGAP_dom	8	['BAG7', 'BEM2', 'BEM3', 'ECM25', 'RGA1', 'RGA2', 'RGD1', 'SAC7']	['Q12128', 'P39960', 'P32873', 'P32525', 'P39083', 'Q06407', 'P38339', 'P17121']	40.00591278640059	0.06504065040650407	0.00162577593851611
IPR000270	PB1_dom	2	['BEM1', 'CDC24']	['P29366', 'P11433']	55.00813008130081	0.016260162601626018	0.0002955956251847473
IPR001452	SH3_domain	10	['BEM1', 'BEM1', 'BOI1', 'BOI2', 'BZZ1', 'BZZ1', 'HSE1', 'LSB1', 'PIN3', 'SHO1']	['P29366', 'P29366', 'P38041', 'P39969', 'P38822', 'P38822', 'P38753', 'P53281', 'Q06449', 'P40073']	19.645760743321716	0.08130081300813008	0.004138338752586462
IPR001683	PX_dom	2	['BEM1', 'BEM3']	['P29366', 'P32873']	7.334417344173443	0.016260162601626018	0.0022169671888856044
IPR000651	Ras-like_Gua-exchang_fac_N	2	['BEM2', 'LTE1']	['P39960', 'P07866']	22.00325203252033	0.016260162601626018	0.0007389890629618681
IPR001849	PH_domain	8	['BEM2', 'BEM3', 'BOI1', 'BOI2', 'CDC24', 'CLA4', 'SKM1', 'SWH1']	['P39960', 'P32873', 'P38041', 'P39969', 'P11433', 'P48562', 'Q12469', 'P35845']	14.19564647259376	0.06504065040650407	0.004581732190363582
IPR001895	RASGEF_cat_dom	2	['BEM2', 'LTE1']	['P39960', 'P07866']	22.00325203252033	0.016260162601626018	0.0007389890629618681
IPR040144	RAP1GDS1	1	['BEM4']	['P39011']	55.00813008130081	0.008130081300813009	0.00014779781259237365
IPR039604	Bfr1	1	['BFR1']	['P38934']	55.00813008130081	0.008130081300813009	0.00014779781259237365
IPR023410	14-3-3_domain	2	['BMH1', 'BMH2']	['P29311', 'P34730']	55.00813008130081	0.016260162601626018	0.0002955956251847473
IPR010472	FH3_dom	1	['BNI1']	['P41832']	55.00813008130081	0.008130081300813009	0.00014779781259237365
IPR010473	GTPase-bd	1	['BNI1']	['P41832']	27.504065040650406	0.008130081300813009	0.0002955956251847473
IPR014767	DAD_dom	1	['BNI1']	['P41832']	27.504065040650406	0.008130081300813009	0.0002955956251847473
IPR015425	FH2_Formin	1	['BNI1']	['P41832']	27.504065040650406	0.008130081300813009	0.0002955956251847473
IPR001660	SAM	2	['BOI1', 'BOI2']	['P38041', 'P39969']	27.504065040650406	0.016260162601626018	0.0005911912503694946
IPR001841	Znf_RING	2	['BRE1', 'FAR1']	['Q07457', 'P21268']	3.0560072267389344	0.016260162601626018	0.0053207212533254505
IPR013087	Znf_C2H2_type	10	['BRE1', 'FZF1', 'FZF1', 'FZF1', 'FZF1', 'FZF1', 'MIG2', 'MIG2', 'MIG3', 'MIG3']	['Q07457', 'P32805', 'P32805', 'P32805', 'P32805', 'P32805', 'P53035', 'P53035', 'P39943', 'P39943']	5.14094673657017	0.08130081300813008	0.015814365947383977
IPR001060	FCH_dom	2	['BZZ1', 'RGD1']	['P38822', 'P38339']	27.504065040650406	0.016260162601626018	0.0005911912503694946
IPR031160	F_BAR	2	['BZZ1', 'RGD1']	['P38822', 'P38339']	27.504065040650406	0.016260162601626018	0.0005911912503694946
IPR002189	CapZ_alpha	1	['CAP1']	['P28495']	55.00813008130081	0.008130081300813009	0.00014779781259237365
IPR001698	CAPZB	1	['CAP2']	['P13517']	55.00813008130081	0.008130081300813009	0.00014779781259237365
IPR000719	Prot_kinase_dom	9	['CBK1', 'CLA4', 'GIN4', 'KIN1', 'PKC1', 'SKM1', 'SLT2', 'SMK1', 'STE20']	['P53894', 'P48562', 'Q12263', 'P13185', 'P24583', 'Q12469', 'Q00772', 'P41808', 'Q03497']	4.19553534518396	0.07317073170731707	0.01744014188590009
IPR000961	AGC-kinase_C	2	['CBK1', 'PKC1']	['P53894', 'P24583']	8.462789243277049	0.016260162601626018	0.0019213715637008573
IPR002423	Cpn60/GroEL/TCP-1	3	['CCT2', 'CCT6', 'CCT7']	['P39076', 'P39079', 'P42943']	20.628048780487802	0.024390243902439025	0.0011823825007389892
IPR000219	DH-domain	2	['CDC24', 'FUS2']	['P11433', 'Q05670']	18.336043360433607	0.016260162601626018	0.0008867868755542418
IPR001715	CH_dom	2	['CDC24', 'IQG1']	['P11433', 'Q12280']	13.752032520325203	0.016260162601626018	0.0011823825007389892
IPR013855	Cdc37_N_dom	1	['CDC37']	['P06101']	55.00813008130081	0.008130081300813009	0.00014779781259237365
IPR013873	Cdc37_C	1	['CDC37']	['P06101']	55.00813008130081	0.008130081300813009	0.00014779781259237365
IPR013874	Cdc37_Hsp90-bd	1	['CDC37']	['P06101']	55.00813008130081	0.008130081300813009	0.00014779781259237365
IPR005225	Small_GTP-bd	8	['CDC42', 'RAS2', 'RHO3', 'RHO4', 'RHO5', 'RSR1', 'SEC4', 'YPT7']	['P19073', 'P01120', 'Q00245', 'Q00246', 'P53879', 'P13856', 'P07560', 'P32939']	12.573286875725902	0.06504065040650407	0.005172923440733077
IPR041960	GGTase_I_beta	1	['CDC43']	['P18898']	55.00813008130081	0.008130081300813009	0.00014779781259237365
IPR015348	Clathrin_H-chain_linker_core	1	['CHC1']	['P22137']	55.00813008130081	0.008130081300813009	0.00014779781259237365
IPR000095	CRIB_dom	5	['CLA4', 'GIC1', 'GIC2', 'SKM1', 'STE20']	['P48562', 'P38785', 'Q06648', 'Q12469', 'Q03497']	55.00813008130081	0.04065040650406504	0.0007389890629618681
IPR001373	Cullin_N	1	['CUL3']	['P53202']	18.336043360433607	0.008130081300813009	0.0004433934377771209
IPR019559	Cullin_neddylation_domain	1	['CUL3']	['P53202']	18.336043360433607	0.008130081300813009	0.0004433934377771209
IPR027357	DOCKER_dom	1	['DCK1']	['Q06409']	55.00813008130081	0.008130081300813009	0.00014779781259237365
IPR016900	Alg10	1	['DIE2']	['P50076']	55.00813008130081	0.008130081300813009	0.00014779781259237365
IPR001251	CRAL-TRIO_dom	1	['ECM25']	['P32525']	7.858304297328688	0.008130081300813009	0.0010345846881466155
IPR000261	EH_dom	3	['EDE1', 'EDE1', 'EDE1']	['P34216', 'P34216', 'P34216']	18.336043360433607	0.024390243902439025	0.0013301803133313626
IPR015940	UBA	1	['EDE1']	['P34216']	6.876016260162602	0.008130081300813009	0.0011823825007389892
IPR037289	Elp2	1	['ELP2']	['P42935']	55.00813008130081	0.008130081300813009	0.00014779781259237365
IPR000182	GNAT_dom	1	['ELP3']	['Q02908']	3.6672086720867214	0.008130081300813009	0.0022169671888856044
IPR006638	Elp3/MiaA/NifB-like_rSAM	1	['ELP3']	['Q02908']	18.336043360433607	0.008130081300813009	0.0004433934377771209
IPR032432	Radical_SAM_C	1	['ELP3']	['Q02908']	55.00813008130081	0.008130081300813009	0.00014779781259237365
IPR008728	Elongator_complex_protein_4	1	['ELP4']	['Q02884']	55.00813008130081	0.008130081300813009	0.00014779781259237365
