Domain Accession	Domain name	Count	Proteins	Accession proteins	Enrichment Score	Ratio in Protein Set	Ratio in Yeast Set	Hypergeometric p-value
IPR004000	Actin	5	['Act1', 'Arp10', 'Arp2', 'Arp3', 'Arp9']	['P60010', 'Q04549', 'P32381', 'P47117', 'Q05123']	17.307534807534804	0.02252252252252252	0.001301313143262747	4.851343169276092e-06
IPR012860	Afi1_N	1	['Afi1']	['Q99222']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR037516	Tripartite_DENN	1	['Afi1']	['Q99222']	19.03828828828829	0.0045045045045045045	0.0002366023896841358	0.05183901810841586
IPR001878	Znf_CCHC	6	['Air1', 'Air1', 'Air1', 'Air1', 'Air1', 'Mpe1']	['P40507', 'P40507', 'P40507', 'P40507', 'P40507', 'P35728']	9.138378378378379	0.02702702702702703	0.0029575298710516978	3.5744314400217654e-05
IPR005225	Small_GTP-bd	13	['Arf3', 'Arp1', 'Cdc42', 'Ras1', 'Ras2', 'Rho1', 'Rho2', 'Rho3', 'Rho4', 'Rho5', 'Rsr1', 'Sec4', 'Ypt7']	['P40994', 'Q02804', 'P19073', 'P01119', 'P01120', 'P06780', 'P06781', 'Q00245', 'Q00246', 'P53879', 'P13856', 'P07560', 'P32939']	14.142728442728444	0.05855855855855856	0.004140541819472376	1.7655190753335e-12
IPR031313	Sin1_PH_dom	1	['Avo1']	['Q08236']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR031567	CRIM_dom	1	['Avo1']	['Q08236']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR011765	Pept_M16_N	1	['Axl1']	['P40851']	4.759572072072072	0.0045045045045045045	0.0009464095587365432	0.19184430369039066
IPR006644	Cadg	4	['Axl2', 'Axl2', 'Axl2', 'Axl2']	['P38928', 'P38928', 'P38928', 'P38928']	38.07657657657658	0.018018018018018018	0.0004732047793682716	4.633155493074517e-07
IPR000198	RhoGAP_dom	9	['Bag7', 'Bem2', 'Bem3', 'Ecm25', 'Rga1', 'Rga2', 'Rgd1', 'Sac7', 'Yhr182w']	['Q12128', 'P39960', 'P32873', 'P32525', 'P39083', 'Q06407', 'P38339', 'P17121', 'P38870']	31.153562653562652	0.04054054054054054	0.001301313143262747	2.6607507093268704e-13
